origen;destino;a_ofertados;v_ofertados;distancia;tiempo;carreteras;n_tramos;riesgo;velocidad_media
Ajalvir;Alcalá de Henares;2.5;1.0;14687.0;1122.0;M-100,Avenida de Daganzo;2;no;47.12
Ajalvir;Algete;3.0;1.0;9353.0;709.0;M-114,M-118,M-103;3;no;47.49
Ajalvir;Arganda del Rey;3.0;1.0;36872.0;1943.0;M-50,R-3;2;si;68.32
Ajalvir;Brunete;3.0;1.0;58267.0;3414.0;R-2,M-40,M-513;3;si;61.44
Ajalvir;Cobeña;1.5;1.0;5197.0;420.0;M-114;1;no;44.55
Ajalvir;Collado Villalba;3.0;1.0;65879.0;3324.0;R-2,M-40,A-6;3;si;71.35
Ajalvir;Getafe;1.71;1.0;42436.0;2089.0;M-50,M-45;2;si;73.13
Ajalvir;Las Rozas de Madrid;3.0;1.0;120102.0;5894.0;M-40,M-501;2;si;73.36
Ajalvir;Madrid;2.89;1.22;29499.0;2040.0;M-108,A-2;2;si;52.06
Ajalvir;Rivas-Vaciamadrid;3.0;1.0;31761.0;1503.0;M-50,A-3;2;si;76.07
Ajalvir;San Sebastián de los Reyes;2.67;1.0;18246.0;1083.0;M-113,M-50;2;si;60.65
Ajalvir;Sevilla la Nueva;3.0;1.0;69528.0;3567.0;R-2,M-40,M-501;3;si;70.17
Ajalvir;Torrejón de Ardoz;1.7;1.0;10221.0;757.0;M-114,M-108;2;no;48.61
Ajalvir;Torrelodones;3.0;1.0;54502.0;2837.0;R-2,M-40,A-6;3;si;69.16
Alameda del Valle;Alcobendas;4.0;1.0;77005.0;3609.0;M-604,A-1;2;no;76.81
Alameda del Valle;Aranjuez;4.0;1.0;138148.0;6566.0;M-604,A-1,A-4;3;no;75.74
Alameda del Valle;Lozoya;3.0;1.0;6681.0;424.0;M-604;1;no;56.73
Alameda del Valle;Lozoyuela-Navas-Sieteiglesias;3.0;1.0;24543.0;1480.0;M-604;1;no;59.7
Alameda del Valle;Madrid;3.5;1.0;92303.0;4588.0;M-604,A-1;2;no;72.43
Alameda del Valle;Valdemoro;4.0;1.0;117201.0;5524.0;M-604,A-1,A-4;3;no;76.38
